,informant,start,end,filename,corpus,text,gender,age
Sib_01-f_32.95_34.57,Sib_01-f,32.95,34.57,./trimmed/Sib_01-f_32.95_34.57.wav,standart,∙∙∙ ээ и мы пошли ==,f,19
Sib_01-f_34.57_36.94,Sib_01-f,34.57,36.94,./trimmed/Sib_01-f_34.57_36.94.wav,standart,"∙∙∙ пешком в горы мы очень долго шли,",f,19
Sib_01-f_36.94_38.51,Sib_01-f,36.94,38.51,./trimmed/Sib_01-f_36.94_38.51.wav,standart,(Часов наверно ∙∙ пять.,f,19
Sib_01-f_38.51_39.78,Sib_01-f,38.51,39.78,./trimmed/Sib_01-f_38.51_39.78.wav,standart,∙∙∙ Точно шли.),f,19
Sib_01-f_39.78_40.61,Sib_01-f,39.78,40.61,./trimmed/Sib_01-f_39.78_40.61.wav,standart,"∙∙ вот,",f,19
Sib_01-f_40.61_43.78,Sib_01-f,40.61,43.78,./trimmed/Sib_01-f_40.61_43.78.wav,standart,"∙∙{ЦОКАНЬЕ} ∙∙∙ там ∙∙ постоянно менялось давление,",f,19
Sib_01-f_43.78_44.51,Sib_01-f,43.78,44.51,./trimmed/Sib_01-f_43.78_44.51.wav,standart,"перепады давления,",f,19
Sib_01-f_44.51_48.3,Sib_01-f,44.51,48.3,./trimmed/Sib_01-f_44.51_48.3.wav,standart,"постоянно-о ∙∙∙ ну ∙∙ то кружилась голова-а,,,",f,19
Sib_01-f_48.3_49.44,Sib_01-f,48.3,49.44,./trimmed/Sib_01-f_48.3_49.44.wav,standart,∙∙ то-о наоборот...,f,19
Sib_01-f_49.44_51.57,Sib_01-f,49.44,51.57,./trimmed/Sib_01-f_49.44_51.57.wav,standart,∙∙∙∙ əВот.,f,19
Sib_01-f_51.57_53.39,Sib_01-f,51.57,53.39,./trimmed/Sib_01-f_51.57_53.39.wav,standart,"{СМЕХ} Девочки смотрите мне в глаза¡,",f,19
Sib_01-f_53.39_54.72,Sib_01-f,53.39,54.72,./trimmed/Sib_01-f_53.39_54.72.wav,standart,я не могу так рассказывать!,f,19
Sib_01-f_54.72_56.25,Sib_01-f,54.72,56.25,./trimmed/Sib_01-f_54.72_56.25.wav,standart,∙∙ {СМЕХ} ∙∙∙ əВот.,f,19
Sib_01-f_56.25_57.39,Sib_01-f,56.25,57.39,./trimmed/Sib_01-f_56.25_57.39.wav,standart,∙∙∙ Потом ==,f,19
Sib_01-f_57.39_59.96,Sib_01-f,57.39,59.96,./trimmed/Sib_01-f_57.39_59.96.wav,standart,"∙∙∙∙ Ну в общем было очень весело,",f,19
Sib_01-f_59.96_61.34,Sib_01-f,59.96,61.34,./trimmed/Sib_01-f_59.96_61.34.wav,standart,"мы наконец-то дошли до того места,",f,19
Sib_01-f_61.34_63.02,Sib_01-f,61.34,63.02,./trimmed/Sib_01-f_61.34_63.02.wav,standart,"вокруг было всё очень краси-иво,",f,19
Sib_01-f_63.02_64.16,Sib_01-f,63.02,64.16,./trimmed/Sib_01-f_63.02_64.16.wav,standart,"∙∙ ээ природа,,,",f,19
Sib_01-f_64.16_64.59,Sib_01-f,64.16,64.59,./trimmed/Sib_01-f_64.16_64.59.wav,standart,горы...,f,19
Sib_01-f_64.59_65.95,Sib_01-f,64.59,65.95,./trimmed/Sib_01-f_64.59_65.95.wav,standart,"∙∙∙ В-вотə,",f,19
Sib_01-f_65.95_68.31,Sib_01-f,65.95,68.31,./trimmed/Sib_01-f_65.95_68.31.wav,standart,"внизу была-а ∙∙ красивая река-а,",f,19
Sib_01-f_68.31_71.27,Sib_01-f,68.31,71.27,./trimmed/Sib_01-f_68.31_71.27.wav,standart,"∙∙∙ ээ ∙∙ когда мы поднялись на вершину горы-ы,",f,19
Sib_01-f_71.27_71.7,Sib_01-f,71.27,71.7,./trimmed/Sib_01-f_71.27_71.7.wav,standart,мы ==,f,19
Sib_01-f_71.7_72.57,Sib_01-f,71.7,72.57,./trimmed/Sib_01-f_71.7_72.57.wav,standart,"∙∙ ээ в-выяснилось,",f,19
Sib_01-f_72.57_74.16,Sib_01-f,72.57,74.16,./trimmed/Sib_01-f_72.57_74.16.wav,standart,"что нам надо спуститься с неё-о,",f,19
Sib_01-f_74.16_74.61,Sib_01-f,74.16,74.61,./trimmed/Sib_01-f_74.16_74.61.wav,standart,"∙∙ ну,",f,19
Sib_01-f_74.61_75.52,Sib_01-f,74.61,75.52,./trimmed/Sib_01-f_74.61_75.52.wav,standart,"то есть с другой стороны,",f,19
Sib_01-f_75.52_79.91,Sib_01-f,75.52,79.91,./trimmed/Sib_01-f_75.52_79.91.wav,standart,"чтобы-ы ∙∙∙ ээ ∙∙∙∙ оказаться н= ‖ ээ на-а поляне,",f,19
Sib_01-f_79.91_81.56,Sib_01-f,79.91,81.56,./trimmed/Sib_01-f_79.91_81.56.wav,standart,"∙∙ чтобы расставить там палатки,,,",f,19
Sib_01-f_81.56_82.98,Sib_01-f,81.56,82.98,./trimmed/Sib_01-f_81.56_82.98.wav,standart,"∙∙∙∙ вот,",f,19
Sib_01-f_82.98_85.62,Sib_01-f,82.98,85.62,./trimmed/Sib_01-f_82.98_85.62.wav,standart,"∙∙∙∙ мы еле как туда спустились,",f,19
Sib_01-f_85.62_87.21,Sib_01-f,85.62,87.21,./trimmed/Sib_01-f_85.62_87.21.wav,standart,∙∙∙∙ ээ у нас ==,f,19
Sib_01-f_87.21_89.29,Sib_01-f,87.21,89.29,./trimmed/Sib_01-f_87.21_89.29.wav,standart,"∙∙∙ нас пошло-о человек пятнадцать,",f,19
Sib_01-f_89.29_90.37,Sib_01-f,89.29,90.37,./trimmed/Sib_01-f_89.29_90.37.wav,standart,"∙∙∙ вот,",f,19
Sib_01-f_90.37_93.05,Sib_01-f,90.37,93.05,./trimmed/Sib_01-f_90.37_93.05.wav,standart,"∙∙∙ ээ ∙∙ мы взяли всего две палатки,",f,19
Sib_01-f_93.05_95.02,Sib_01-f,93.05,95.02,./trimmed/Sib_01-f_93.05_95.02.wav,standart,"∙∙ одна была-а ∙∙ большая палатка,",f,19
Sib_01-f_95.02_96.66,Sib_01-f,95.02,96.66,./trimmed/Sib_01-f_95.02_96.66.wav,standart,"там ∙∙ человек на десять,",f,19
Sib_01-f_96.66_97.47,Sib_01-f,96.66,97.47,./trimmed/Sib_01-f_96.66_97.47.wav,standart,"<ну | а> другая маленькая,",f,19
Sib_01-f_97.47_99.14,Sib_01-f,97.47,99.14,./trimmed/Sib_01-f_97.47_99.14.wav,standart,"ну там у нас спали-и пять человек,",f,19
Sib_01-f_99.14_100.64,Sib_01-f,99.14,100.64,./trimmed/Sib_01-f_99.14_100.64.wav,standart,"∙∙ {ЧМОКАНЬЕ} ∙∙ вот,",f,19
Sib_01-f_100.64_102.92,Sib_01-f,100.64,102.92,./trimmed/Sib_01-f_100.64_102.92.wav,standart,∙∙∙∙ ээ мы пришли в ==,f,19
Sib_01-f_102.92_103.61,Sib_01-f,102.92,103.61,./trimmed/Sib_01-f_102.92_103.61.wav,standart,"∙∙ мы пришли,",f,19
Sib_01-f_103.61_104.83,Sib_01-f,103.61,104.83,./trimmed/Sib_01-f_103.61_104.83.wav,standart,"поставили пала-атки,,,",f,19
Sib_01-f_104.83_107.0,Sib_01-f,104.83,107.0,./trimmed/Sib_01-f_104.83_107.0.wav,standart,∙∙∙ ээ разожгли костё-ор...,f,19
Sib_01-f_107.0_108.68,Sib_01-f,107.0,108.68,./trimmed/Sib_01-f_107.0_108.68.wav,standart,"∙∙∙∙ əВо-от,",f,19
Sib_01-f_108.68_109.51,Sib_01-f,108.68,109.51,./trimmed/Sib_01-f_108.68_109.51.wav,standart,∙∙ потом ==,f,19
Sib_01-f_109.51_110.86,Sib_01-f,109.51,110.86,./trimmed/Sib_01-f_109.51_110.86.wav,standart,"∙∙ там рядом была река,",f,19
Sib_01-f_110.86_112.45,Sib_01-f,110.86,112.45,./trimmed/Sib_01-f_110.86_112.45.wav,standart,∙∙ и мы все пошли купа-аться...,f,19
Sib_01-f_112.45_114.44,Sib_01-f,112.45,114.44,./trimmed/Sib_01-f_112.45_114.44.wav,standart,∙∙∙ {ЦОКАНЬЕ} ∙∙ Покупались...,f,19
Sib_01-f_114.44_118.38,Sib_01-f,114.44,118.38,./trimmed/Sib_01-f_114.44_118.38.wav,standart,"∙∙∙∙ ээ Вечером мы жарили ‖ əжарили шашлыки-и,,,",f,19
Sib_01-f_118.38_121.24,Sib_01-f,118.38,121.24,./trimmed/Sib_01-f_118.38_121.24.wav,standart,"∙∙∙∙ ээ пели песни-и,,,",f,19
Sib_01-f_121.24_122.28,Sib_01-f,121.24,122.28,./trimmed/Sib_01-f_121.24_122.28.wav,standart,у-у костра...,f,19
Sib_01-f_122.28_124.34,Sib_01-f,122.28,124.34,./trimmed/Sib_01-f_122.28_124.34.wav,standart,"∙∙∙∙ Ну и всё,",f,19
Sib_01-f_124.34_126.56,Sib_01-f,124.34,126.56,./trimmed/Sib_01-f_124.34_126.56.wav,standart,"и-и ∙∙∙ потом пошли спать,",f,19
Sib_01-f_126.56_127.59,Sib_01-f,126.56,127.59,./trimmed/Sib_01-f_126.56_127.59.wav,standart,"уже поздно ночью,",f,19
Sib_01-f_127.59_128.69,Sib_01-f,127.59,128.69,./trimmed/Sib_01-f_127.59_128.69.wav,standart,"утром проснулись,,,",f,19
Sib_01-f_128.69_131.27,Sib_01-f,128.69,131.27,./trimmed/Sib_01-f_128.69_131.27.wav,standart,"∙∙∙ ээ весь день тоже были в горах,,,",f,19
Sib_01-f_131.27_131.54,Sib_01-f,131.27,131.54,./trimmed/Sib_01-f_131.27_131.54.wav,standart,"ну,",f,19
Sib_01-f_131.54_132.55,Sib_01-f,131.54,132.55,./trimmed/Sib_01-f_131.54_132.55.wav,standart,"то есть весели-ились,,,",f,19
Sib_01-f_132.55_133.73,Sib_01-f,132.55,133.73,./trimmed/Sib_01-f_132.55_133.73.wav,standart,"пели ∙∙ под гита-ару,,,",f,19
Sib_01-f_133.73_134.91,Sib_01-f,133.73,134.91,./trimmed/Sib_01-f_133.73_134.91.wav,standart,"∙∙ готовили кушать,,,",f,19
Sib_01-f_134.91_135.46,Sib_01-f,134.91,135.46,./trimmed/Sib_01-f_134.91_135.46.wav,standart,"ели-и,,,",f,19
Sib_01-f_135.46_136.14,Sib_01-f,135.46,136.14,./trimmed/Sib_01-f_135.46_136.14.wav,standart,"купались,",f,19
Sib_01-f_136.14_136.5,Sib_01-f,136.14,136.5,./trimmed/Sib_01-f_136.14_136.5.wav,standart,"∙∙ [∙∙] əво-от,",f,19
Sib_01-f_137.14_138.07,Sib_01-f,137.14,138.07,./trimmed/Sib_01-f_137.14_138.07.wav,standart,∙∙ ну и-и ==,f,19
Sib_01-f_138.07_140.28,Sib_01-f,138.07,140.28,./trimmed/Sib_01-f_138.07_140.28.wav,standart,∙∙∙ ну к вечеру вернулись домой!,f,19
Sib_01-f_140.28_144.81,Sib_01-f,140.28,144.81,./trimmed/Sib_01-f_140.28_144.81.wav,standart,∙∙ {ЧМОКАНЬЕ} ∙∙ Очень весёлая была-а ‖ ∙∙ {СМЕХ} весёлый был поход в горы!,f,19
Sib_02-f_0.0_0.95,Sib_02-f,0.0,0.95,./trimmed/Sib_02-f_0.0_0.95.wav,standart,Меня зовут Ира.,f,20
Sib_02-f_0.95_3.67,Sib_02-f,0.95,3.67,./trimmed/Sib_02-f_0.95_3.67.wav,standart,"∙∙ {ЧМОКАНЬЕ} ∙∙∙ Я-а расскажу тебе историю,",f,20
Sib_02-f_3.67_6.66,Sib_02-f,3.67,6.66,./trimmed/Sib_02-f_3.67_6.66.wav,standart,∙∙ о том как я впервые в жизни была в московском зоопарке.,f,20
Sib_02-f_6.66_9.55,Sib_02-f,6.66,9.55,./trimmed/Sib_02-f_6.66_9.55.wav,standart,∙∙∙ На этот момент мне было уже двадцать лет.,f,20
Sib_02-f_9.55_10.47,Sib_02-f,9.55,10.47,./trimmed/Sib_02-f_9.55_10.47.wav,standart,∙∙ Как ни странно.,f,20
Sib_02-f_10.47_14.64,Sib_02-f,10.47,14.64,./trimmed/Sib_02-f_10.47_14.64.wav,standart,"∙∙∙∙ ээ ∙∙∙ Ну-у во-первых вход студентам бесплатный,",f,20
Sib_02-f_14.64_15.37,Sib_02-f,14.64,15.37,./trimmed/Sib_02-f_14.64_15.37.wav,standart,"∙∙ в зоопарк,",f,20
Sib_02-f_15.37_16.16,Sib_02-f,15.37,16.16,./trimmed/Sib_02-f_15.37_16.16.wav,standart,"∙∙∙вот,",f,20
Sib_02-f_16.16_17.85,Sib_02-f,16.16,17.85,./trimmed/Sib_02-f_16.16_17.85.wav,standart,"∙∙ мы прошли в зоопарк бесплатно,",f,20
Sib_02-f_17.85_18.57,Sib_02-f,17.85,18.57,./trimmed/Sib_02-f_17.85_18.57.wav,standart,московский.,f,20
Sib_02-f_18.57_23.26,Sib_02-f,18.57,23.26,./trimmed/Sib_02-f_18.57_23.26.wav,standart,∙∙∙∙ эээ ∙∙∙ В зоопарке было достаточно интересно.,f,20
Sib_02-f_23.26_29.85,Sib_02-f,23.26,29.85,./trimmed/Sib_02-f_23.26_29.85.wav,standart,"∙∙∙∙ Но самым запоминающимся мне-е ∙∙ показа-алос-сьə ‖ ∙∙ ээ показались это б-белые медведи,",f,20
Sib_02-f_29.85_31.61,Sib_02-f,29.85,31.61,./trimmed/Sib_02-f_29.85_31.61.wav,standart,∙∙ (Мы ходили кстати в зоопарк летом.,f,20
Sib_02-f_31.61_33.15,Sib_02-f,31.61,33.15,./trimmed/Sib_02-f_31.61_33.15.wav,standart,∙∙∙ Им было очень жарко.),f,20
Sib_02-f_33.15_35.44,Sib_02-f,33.15,35.44,./trimmed/Sib_02-f_33.15_35.44.wav,standart,∙∙ у них была-а ∙∙ искусственная горка снега.,f,20
Sib_02-f_35.44_36.73,Sib_02-f,35.44,36.73,./trimmed/Sib_02-f_35.44_36.73.wav,standart,∙∙∙ Между прочим.,f,20
Sib_02-f_36.73_42.66,Sib_02-f,36.73,42.66,./trimmed/Sib_02-f_36.73_42.66.wav,standart,"∙∙∙∙ Ещё мне понравилась ∙∙∙ ээ ∙∙∙∙ ондатра,",f,20
Sib_02-f_42.66_43.66,Sib_02-f,42.66,43.66,./trimmed/Sib_02-f_42.66_43.66.wav,standart,"∙∙∙ там,",f,20
Sib_02-f_43.66_50.2,Sib_02-f,43.66,50.2,./trimmed/Sib_02-f_43.66_50.2.wav,standart,"∙∙∙∙ а ещё ∙∙∙ там был ∙∙ эээ ммм ∙∙ как бы ∙∙∙ отдел,",f,20
Sib_02-f_50.2_51.59,Sib_02-f,50.2,51.59,./trimmed/Sib_02-f_50.2_51.59.wav,standart,"∙∙ так ска= ‖ ∙∙ так сказать,",f,20
Sib_02-f_51.59_56.49,Sib_02-f,51.59,56.49,./trimmed/Sib_02-f_51.59_56.49.wav,standart,"∙∙∙ где-е ∙∙ мм были-и ээ ∙∙∙ крокоди-илы-ы,,,",f,20
Sib_02-f_56.49_59.6,Sib_02-f,56.49,59.6,./trimmed/Sib_02-f_56.49_59.6.wav,standart,∙∙∙ то есть эээ ’’’’ всякь= ==,f,20
Sib_02-f_59.6_61.14,Sib_02-f,59.6,61.14,./trimmed/Sib_02-f_59.6_61.14.wav,standart,"əразличные зме-еи-и,,,",f,20
Sib_02-f_61.14_62.6,Sib_02-f,61.14,62.6,./trimmed/Sib_02-f_61.14_62.6.wav,standart,"∙∙∙ очень интересные,",f,20
Sib_02-f_62.6_62.93,Sib_02-f,62.6,62.93,./trimmed/Sib_02-f_62.6_62.93.wav,standart,я помню,f,20
Sib_02-f_62.93_65.55,Sib_02-f,62.93,65.55,./trimmed/Sib_02-f_62.93_65.55.wav,standart,"как я подошла к одному из-з ∙∙ террариумов-в,",f,20
Sib_02-f_65.55_67.14,Sib_02-f,65.55,67.14,./trimmed/Sib_02-f_65.55_67.14.wav,standart,∙∙∙ ’’ и сказала,f,20
Sib_02-f_67.14_67.97,Sib_02-f,67.14,67.97,./trimmed/Sib_02-f_67.14_67.97.wav,standart,"что «Там никого нет!,",f,20
Sib_02-f_67.97_68.62,Sib_02-f,67.97,68.62,./trimmed/Sib_02-f_67.97_68.62.wav,standart,тут пусто!»,f,20
Sib_02-f_68.62_70.85,Sib_02-f,68.62,70.85,./trimmed/Sib_02-f_68.62_70.85.wav,standart,"∙∙∙ Потом подняла глаза наверх,",f,20
Sib_02-f_70.85_73.73,Sib_02-f,70.85,73.73,./trimmed/Sib_02-f_70.85_73.73.wav,standart,"∙∙∙ там была ∙∙∙ большая змея,",f,20
Sib_02-f_73.73_75.08,Sib_02-f,73.73,75.08,./trimmed/Sib_02-f_73.73_75.08.wav,standart,(К сожалению не запомнила названия.),f,20
Sib_02-f_75.08_78.06,Sib_02-f,75.08,78.06,./trimmed/Sib_02-f_75.08_78.06.wav,standart,∙∙∙∙ которая кого-то переваривала.,f,20
Sib_02-f_78.06_79.65,Sib_02-f,78.06,79.65,./trimmed/Sib_02-f_78.06_79.65.wav,standart,∙∙∙ И прям было видно!,f,20
Sib_02-f_79.65_81.14,Sib_02-f,79.65,81.14,./trimmed/Sib_02-f_79.65_81.14.wav,standart,"∙∙ То есть она вот идёт вся такая,",f,20
Sib_02-f_81.14_81.87,Sib_02-f,81.14,81.87,./trimmed/Sib_02-f_81.14_81.87.wav,standart,"∙∙ как бы плоская,",f,20
Sib_02-f_81.87_83.01,Sib_02-f,81.87,83.01,./trimmed/Sib_02-f_81.87_83.01.wav,standart,"ээ обычного диаметра,",f,20
Sib_02-f_83.01_83.17,Sib_02-f,83.01,83.17,./trimmed/Sib_02-f_83.01_83.17.wav,standart,"да,",f,20
Sib_02-f_83.17_83.69,Sib_02-f,83.17,83.69,./trimmed/Sib_02-f_83.17_83.69.wav,standart,"определённого,",f,20
Sib_02-f_83.69_87.89,Sib_02-f,83.69,87.89,./trimmed/Sib_02-f_83.69_87.89.wav,standart,"в одном месте она такая вот ∙∙∙ немножко ∙∙∙ расширенная и надутая,",f,20
Sib_02-f_87.89_88.53,Sib_02-f,87.89,88.53,./trimmed/Sib_02-f_87.89_88.53.wav,standart,"то есть явно видно,",f,20
Sib_02-f_88.53_89.82,Sib_02-f,88.53,89.82,./trimmed/Sib_02-f_88.53_89.82.wav,standart,что она кого-то переваривает.,f,20
Sib_02-f_89.82_90.32,Sib_02-f,89.82,90.32,./trimmed/Sib_02-f_89.82_90.32.wav,standart,"∙∙ Вот,",f,20
Sib_02-f_90.32_91.54,Sib_02-f,90.32,91.54,./trimmed/Sib_02-f_90.32_91.54.wav,standart,это меня очень впечатлило.,f,20
Sib_02-f_91.54_94.16,Sib_02-f,91.54,94.16,./trimmed/Sib_02-f_91.54_94.16.wav,standart,"∙∙∙∙ Ну в конце было более позитивно,",f,20
Sib_02-f_94.16_95.73,Sib_02-f,94.16,95.73,./trimmed/Sib_02-f_94.16_95.73.wav,standart,"в конце были два крокодильчика,",f,20
Sib_02-f_95.73_97.24,Sib_02-f,95.73,97.24,./trimmed/Sib_02-f_95.73_97.24.wav,standart,"∙∙ лежащие друг на друге,",f,20
Sib_02-f_97.24_99.19,Sib_02-f,97.24,99.19,./trimmed/Sib_02-f_97.24_99.19.wav,standart,"∙∙∙ просто греющиеся,",f,20
Sib_02-f_99.19_102.19,Sib_02-f,99.19,102.19,./trimmed/Sib_02-f_99.19_102.19.wav,standart,под ∙∙ лампой ∙∙ эээ <как вот | как бы> света.,f,20
Sib_02-f_102.19_103.97,Sib_02-f,102.19,103.97,./trimmed/Sib_02-f_102.19_103.97.wav,standart,∙∙∙∙ Вот.,f,20
Sib_02-f_103.97_108.46,Sib_02-f,103.97,108.46,./trimmed/Sib_02-f_103.97_108.46.wav,standart,∙∙∙ Такое впечатление у меня осталось от первого посещения московского зоопарка.,f,20
Sib_02-f_108.46_111.25,Sib_02-f,108.46,111.25,./trimmed/Sib_02-f_108.46_111.25.wav,standart,"∙∙∙ Ну ещё кстати я там прокатилась на одном аттракционе,",f,20
Sib_02-f_111.25_113.56,Sib_02-f,111.25,113.56,./trimmed/Sib_02-f_111.25_113.56.wav,standart,"∙∙∙∙ на котором мне было очень плохо,",f,20
Sib_02-f_113.56_114.12,Sib_02-f,113.56,114.12,./trimmed/Sib_02-f_113.56_114.12.wav,standart,"страшно,",f,20
Sib_02-f_114.12_115.63,Sib_02-f,114.12,115.63,./trimmed/Sib_02-f_114.12_115.63.wav,standart,∙∙ я очень жутко кричала.,f,20
Sib_02-f_115.63_117.17,Sib_02-f,115.63,117.17,./trimmed/Sib_02-f_115.63_117.17.wav,standart,∙∙∙ От страха и ужаса.,f,20
Sib_02-f_117.17_119.17,Sib_02-f,117.17,119.17,./trimmed/Sib_02-f_117.17_119.17.wav,standart,∙∙∙ Это я тоже не могу забыть до сих пор.,f,20
Sib_02-f_119.17_121.52,Sib_02-f,119.17,121.52,./trimmed/Sib_02-f_119.17_121.52.wav,standart,∙∙∙ {ШМЫГАНЬЕ} Ну вот собственно наверно и всё?,f,20
Sib_02-f_121.52_121.95,Sib_02-f,121.52,121.95,./trimmed/Sib_02-f_121.52_121.95.wav,standart,"∙∙ Я думаю,",f,20
Sib_02-f_121.95_122.81,Sib_02-f,121.95,122.81,./trimmed/Sib_02-f_121.95_122.81.wav,standart,что этого хватит?,f,20
Sib_03-m_0.0_0.47,Sib_03-m,0.0,0.47,./trimmed/Sib_03-m_0.0_0.47.wav,standart,"∙∙ Так,",m,19
Sib_03-m_0.47_1.75,Sib_03-m,0.47,1.75,./trimmed/Sib_03-m_0.47_1.75.wav,standart,"∙∙ зовут меня Роман,,,",m,19
Sib_03-m_1.75_3.61,Sib_03-m,1.75,3.61,./trimmed/Sib_03-m_1.75_3.61.wav,standart,"∙∙∙ мне девятнадцать лет,",m,19
Sib_03-m_3.61_6.16,Sib_03-m,3.61,6.16,./trimmed/Sib_03-m_3.61_6.16.wav,standart,"∙∙∙ родился я в городе Улан-Удэ,",m,19
Sib_03-m_6.16_7.49,Sib_03-m,6.16,7.49,./trimmed/Sib_03-m_6.16_7.49.wav,standart,"∙∙∙ (Здесь и вырос,",m,19
Sib_03-m_7.49_8.97,Sib_03-m,7.49,8.97,./trimmed/Sib_03-m_7.49_8.97.wav,standart,здесь я и ‖ и ещё и расту.),m,19
Sib_03-m_8.97_10.35,Sib_03-m,8.97,10.35,./trimmed/Sib_03-m_8.97_10.35.wav,standart,"∙∙∙∙ так,",m,19
Sib_03-m_10.35_11.67,Sib_03-m,10.35,11.67,./trimmed/Sib_03-m_10.35_11.67.wav,standart,"∙∙∙ ну-у,",m,19
Sib_03-m_11.67_14.98,Sib_03-m,11.67,14.98,./trimmed/Sib_03-m_11.67_14.98.wav,standart,"∙∙∙∙ учился я ∙∙ в гимназии в четырнадцатой,,,",m,19
Sib_03-m_14.98_15.36,Sib_03-m,14.98,15.36,./trimmed/Sib_03-m_14.98_15.36.wav,standart,там —,m,19
Sib_03-m_15.36_16.12,Sib_03-m,15.36,16.12,./trimmed/Sib_03-m_15.36_16.12.wav,standart,"∙∙ сколько,",m,19
Sib_03-m_16.12_17.51,Sib_03-m,16.12,17.51,./trimmed/Sib_03-m_16.12_17.51.wav,standart,"— д= ‖ закончил девять классов,",m,19
Sib_03-m_17.51_21.0,Sib_03-m,17.51,21.0,./trimmed/Sib_03-m_17.51_21.0.wav,standart,"∙∙∙ после этого поступил-л ’’ ∙∙ в лесопромышленный колледж,,,",m,19
Sib_03-m_21.0_23.31,Sib_03-m,21.0,23.31,./trimmed/Sib_03-m_21.0_23.31.wav,standart,"∙∙∙ который ∙∙ не закончил,",m,19
Sib_03-m_23.31_26.03,Sib_03-m,23.31,26.03,./trimmed/Sib_03-m_23.31_26.03.wav,standart,"после первого курса ∙∙∙ забрал документы,,,",m,19
Sib_03-m_26.03_28.01,Sib_03-m,26.03,28.01,./trimmed/Sib_03-m_26.03_28.01.wav,standart,"∙∙∙ мм н-начал работать,,,",m,19
Sib_03-m_28.01_28.7,Sib_03-m,28.01,28.7,./trimmed/Sib_03-m_28.01_28.7.wav,standart,"работал так,,,",m,19
Sib_03-m_28.7_29.33,Sib_03-m,28.7,29.33,./trimmed/Sib_03-m_28.7_29.33.wav,standart,"диджеем,,,",m,19
Sib_03-m_29.33_30.54,Sib_03-m,29.33,30.54,./trimmed/Sib_03-m_29.33_30.54.wav,standart,"на-а всяких свадьбах,,,",m,19
Sib_03-m_30.54_30.95,Sib_03-m,30.54,30.95,./trimmed/Sib_03-m_30.54_30.95.wav,standart,юбилеях...,m,19
